"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.asics.com","Running Fit - Northville","17783 Haggerty Rd C","Northville","MI","48168","US","10034","(248) 380-3338","Official ASICS online store","42.41359695","-83.43358137","Mon 10:00-20:00 Tue 10:00-20:00 Wed 10:00-20:00 Thu 10:00-20:00 Fri 10:00-20:00 Sat 10:00-19:00 Sun 11:00-17:00"
"https://www.asics.com","DICK'S Sporting Goods","4108 14th St W","Bradenton","FL","34205","US","9092","(941) 751-6900","Official ASICS online store","27.46404645","-82.57777114","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","SCHEELS ALL SPORTS","8251 Flying Cloud Dr","Eden Prairie","MN","55344","US","8735","(952) 826-0067","Official ASICS online store","44.85434735","-93.42501531","Mon 10:00-21:00 Tue 10:00-21:00 Wed 10:00-21:00 Thu 10:00-21:00 Fri 10:00-21:00 Sat 10:00-21:00 Sun 11:00-18:00"
"https://www.asics.com","DICK'S Sporting Goods","5100 N 9th Ave","Pensacola","FL","32504","US","9092","(850) 478-9605","Official ASICS online store","30.47524993","-87.20741429","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","7305 Market Pl Dr","Aurora","OH","44202","US","9092","(330) 562-4200","Official ASICS online store","41.34967747","-81.38801333","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","401 E Palatine Rd","Arlington Heights","IL","60004","US","9092","(847) 577-1283","Official ASICS online store","42.10776899","-87.97614414","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","13838 Dallas Pkwy","Dallas","TX","75240","US","9092","(972) 239-5455","Official ASICS online store","32.93535396","-96.82061586","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","4938 S Staples St ste a-1","Corpus Christi","TX","78411","US","9092","(361) 980-1535","Official ASICS online store","27.70924540","-97.36815953","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","Rogan's Shoes - Eau Claire","3015 E Hamilton Ave","Eau Claire","WI","54701","US","15605","(715) 833-1440","Official ASICS online store","44.78465600","-91.45886320","<MISSING>"
"https://www.asics.com","DICK'S Sporting Goods","1700 W New Haven Ave","Melbourne","FL","32904","US","9092","(321) 984-4012","Official ASICS online store","28.08134601","-80.64985132","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","Rogan's Shoes - Appleton West","1035 Mutual Way","Appleton","WI","54913","US","15605","(920) 954-8200","Official ASICS online store","44.25604430","-88.34791930","<MISSING>"
"https://www.asics.com","DICK'S Sporting Goods","64 THF Blvd","Chesterfield","MO","63005","US","9092","(636) 536-3718","Official ASICS online store","38.66663351","-90.58814842","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","579 Troy Schenectady Road","Latham","NY","12110","US","9092","(518) 213-3478","Official ASICS online store","42.75562701","-73.76084121","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","1600 Miller Trunk Hwy","Duluth","MN","55811","US","9092","(218) 727-2078","Official ASICS online store","46.80397668","-92.15941510","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","JackRabbit - Union Square","42 W 14th St","New York","NY","10011","US","13934","(646) 355-1982","Official ASICS online store","40.73666743","-73.99512123","Mon 10:00-21:00 Tue 10:00-21:00 Wed 10:00-21:00 Thu 10:00-21:00 Fri 10:00-21:00 Sat 10:00-20:00 Sun 11:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","130 E University Pkwy","Orem","UT","84058","US","9092","(801) 225-7073","Official ASICS online store","40.27176598","-111.69191830","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30"
"https://www.asics.com","DICK'S Sporting Goods","1729 Apalachee Pkwy","Tallahassee","FL","32301","US","9092","(850) 309-0490","Official ASICS online store","30.43114986","-84.25121380","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","6850 US-90","Daphne","AL","36526","US","9092","(251) 621-0031","Official ASICS online store","30.65415022","-87.90661440","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","96 Commonwealth Ave","Danvers","MA","01923","US","9092","(978) 646-6400","Official ASICS online store","42.55126972","-70.94491162","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","200 N Telshor Blvd","Las Cruces","NM","88011","US","9092","(575) 522-9756","Official ASICS online store","32.31952953","-106.74717490","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","SCHEELS ALL SPORTS","505 Center Ave","Moorhead","MN","56560","US","8735","(218) 233-2751","Official ASICS online store","46.87478768","-96.77141586","Mon 9:00-21:00 Tue 9:00-21:00 Wed 9:00-21:00 Thu 9:00-21:00 Fri 9:00-21:00 Sat 9:00-18:00 Sun 11:00-17:00"
"https://www.asics.com","DICK'S Sporting Goods","2727 Iowa St Ste C","Lawrence","KS","66046","US","9092","(785) 312-3317","Official ASICS online store","38.93326379","-95.26241561","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","5716 Columbia Pike","Bailey's Crossroads","VA","22041","US","9092","(703) 933-0736","Official ASICS online store","38.85246366","-77.12781264","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","8292 Tamarack Village","Woodbury","MN","55125","US","9092","(651) 731-0200","Official ASICS online store","44.94198850","-92.94085240","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","Rogan's Shoes - La Crosse","1220 Crossing Meadows Dr Suite 230","Onalaska","WI","54650","US","15605","(608) 781-8315","Official ASICS online store","43.86863120","-91.21322160","<MISSING>"
"https://www.asics.com","Omega Sports Cary","314 Crossroads Blvd #2120","Cary","NC","27518","US","10072","(919) 859-2623","Official ASICS online store","35.75965586","-78.73879129","Mon 9:00-21:00 Tue 9:00-21:00 Wed 9:00-21:00 Thu 9:00-21:00 Fri 9:00-21:00 Sat 9:00-21:00 Sun 11:00-18:00"
"https://www.asics.com","DICK'S Sporting Goods","45700 Michigan Ave","Canton","MI","48188","US","9092","(734) 495-0387","Official ASICS online store","42.27376926","-83.48961368","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","3415 N Eagle Rd","Meridian","ID","83646","US","9092","(208) 884-2026","Official ASICS online store","43.63604715","-116.35477191","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","Portland Running & Walking Co","800 SE Grand Ave","Portland","OR","97214","US","10218","(503) 232-8077","Official ASICS online store","45.51702746","-122.66052201","Mon 10:00-20:00 Tue 10:00-20:00 Wed 10:00-20:00 Thu 10:00-20:00 Fri 10:00-20:00 Sat 10:00-18:00 Sun 11:00-17:00"
"https://www.asics.com","Portland Running Co","10029 SW Nimbus Ave","Beaverton","OR","97008","US","10218","(503) 524-7570","Official ASICS online store","45.44764745","-122.79088201","Mon 10:00-20:00 Tue 10:00-20:00 Wed 10:00-20:00 Thu 10:00-20:00 Fri 10:00-20:00 Sat 10:00-18:00 Sun 11:00-17:00"
"https://www.asics.com","DICK'S Sporting Goods","590 River Hwy J","Mooresville","NC","28117","US","9092","(704) 662-9066","Official ASICS online store","35.59815930","-80.87053320","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","901 County Rd 42 W B-200","Burnsville","MN","55306","US","9092","(952) 898-0743","Official ASICS online store","44.74507331","-93.28901528","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","1 Crossgates Mall Rd","Albany","NY","12203","US","9092","(518) 218-7410","Official ASICS online store","42.68956994","-73.85031210","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","216 Hinton Oaks Blvd","Knightdale","NC","27545","US","9092","(919) 266-7876","Official ASICS online store","35.79725587","-78.51094129","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","578 Aviation Rd spc d-103","Queensbury","NY","12804","US","9092","(518) 743-8790","Official ASICS online store","43.32697099","-73.67751207","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","8113 W Ridgewood Dr","Parma","OH","44129","US","9092","(440) 345-3035","Official ASICS online store","41.38266678","-81.74171134","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","400 N Center St","Westminster","MD","21157","US","9092","(410) 848-1039","Official ASICS online store","39.57823590","-76.98338770","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","8821 Southern Blvd","West Palm Beach","FL","33411","US","9092","(561) 204-4133","Official ASICS online store","26.68143715","-80.18311314","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","700 Lafayette Rd ste 212","Seabrook","NH","03874","US","9092","(603) 760-7369","Official ASICS online store","42.89264120","-70.86652400","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","2269 S Santan Village Pkwy","Gilbert","AZ","85295","US","9092","(480) 899-3993","Official ASICS online store","33.30905457","-111.74551831","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","64 Serramonte Center","Daly City","CA","94015","US","9092","(415) 325-4109","Official ASICS online store","37.67166172","-122.47252007","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","Salt Lake Running Company","2454 S 700 E","Salt Lake City","UT","84106","US","9543","(801) 484-9144","Official ASICS online store","40.71786671","-111.87171183","Mon 10:00-19:00 Tue 10:00-19:00 Wed 10:00-19:00 Thu 10:00-19:00 Fri 10:00-19:00 Sat 10:00-18:00"
"https://www.asics.com","DICK'S Sporting Goods","2711 Countryside Dr","Turlock","CA","95380","US","9092","(209) 216-4385","Official ASICS online store","37.51536147","-120.88111981","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","700 NW Eastman Pkwy","Gresham","OR","97030","US","9092","(503) 667-1950","Official ASICS online store","45.50247455","-122.43422006","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
"https://www.asics.com","SCHEELS ALL SPORTS","3801 S MacArthur Blvd","Springfield","IL","62711","US","8735","(217) 726-6330","Official ASICS online store","39.74996651","-89.67099147","Mon 9:00-21:00 Tue 9:00-21:00 Wed 9:00-21:00 Thu 9:00-21:00 Fri 9:00-21:00 Sat 9:00-21:00 Sun 10:00-18:00"
"https://www.asics.com","Road Runner Sports - Worthington","535 Lakeview Plaza Blvd","Worthington","OH","43085","US","9471","(614) 896-2090","Official ASICS online store","40.11265721","-83.00213599","Mon 10:00-20:00 Tue 10:00-20:00 Wed 10:00-20:00 Thu 10:00-20:00 Fri 10:00-20:00 Sat 10:00-19:00 Sun 10:00-19:00"
"https://www.asics.com","DICK'S Sporting Goods","1201 Boston Post Rd","Milford","CT","06460","US","9092","(203) 876-0477","Official ASICS online store","41.23556756","-73.03601197","Mon 9:00-21:30 Tue 9:00-21:30 Wed 9:00-21:30 Thu 9:00-21:30 Fri 9:00-21:30 Sat 9:00-21:30 Sun 10:00-19:00"
