"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://mymidici.com","Rogers","2203 Promenade Blvd.","Rogers","Arkansas","72758","United States","1714","(479) 877-6733","MidiCi - Best Neapolitan Pizza","36.30578","-94.175734","Monday 10:30 AM - 10:00 PM Tuesday 10:30 AM - 10:00 PM Wednesday 10:30 AM - 10:00 PM Thursday 10:30 AM - 10:00 PM Friday 10:30 AM - 11:00 PM Saturday 10:30 AM - 11:00 PM Sunday 10:30 AM - 10:00 PM"
"https://mymidici.com","Columbia","1007 East Broadway","Columbia","Missouri","65201","United States","602","(573) 443-1900","MidiCi - Best Neapolitan Pizza","38.95151","-92.326203","Monday 11:00 AM - 9:00 PM Tuesday 11:00 AM - 9:00 PM Wednesday 11:00 AM - 9:00 PM Thursday 11:00 AM - 9:00 PM Friday 11:00 AM - 11:00 PM Saturday 11:00 AM - 11:00 PM Sunday 11:00 AM - 9:00 PM"
"https://mymidici.com","Preston Hollow Village","7825 Firefall Way,","Dallas","Texas","75230","United States","4038","(214) 238-3306","MidiCi - Best Neapolitan Pizza","32.881702","-96.772753","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 11:00 PM Saturday 11:00 AM - 11:00 PM Sunday 11:00 AM - 10:00 PM"
"https://mymidici.com","Euless","1310 Chisholm Trail","Euless","Texas","76039","United States","2677","(682) 223-2340","MidiCi - Best Neapolitan Pizza","32.87488","-97.1002","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 11:00 AM - 10:00 PM"
"https://mymidici.com","Naperville","135 Water St, Ste 101","Naperville","Illinois","60540","United States","4107","(630) 445-8054","MidiCi - Best Neapolitan Pizza","41.771217","-88.150893","Monday 11:00 AM - 11:00 PM Tuesday 11:00 AM - 11:00 PM Wednesday 11:00 AM - 11:00 PM Thursday 11:00 AM - 11:00 PM Friday 11:00 AM - 12:00 AM Saturday 11:00 AM - 12:00 AM Sunday 11:00 AM - 11:00 PM"
"https://mymidici.com","Denver Tech Center","4920 South Newport Street","Denver","Colorado","80237","United States","3566","720-328-4790","MidiCi - Best Neapolitan Pizza","39.62461","-104.906952","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 11:00 PM Friday 11:00 AM - 11:00 PM Saturday 11:00 AM - 11:00 PM Sunday 11:00 AM - 10:00 PM"
"https://mymidici.com","Westminster","10443 Town Center Dr.","Westminster","Colorado","80021","United States","3562","(303) 353-9038","MidiCi - Best Neapolitan Pizza","39.887197","-105.075852","Monday 11:00 AM - 9:00 PM Tuesday 11:00 AM - 9:00 PM Wednesday 11:00 AM - 9:00 PM Thursday 11:00 AM - 9:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 12:00 PM - 8:00 PM"
"https://mymidici.com","Westshore","12371 James St.","Holland","Michigan","49424","United States","1523","(616) 377-7733","MidiCi - Best Neapolitan Pizza","42.812627","-86.088479","Monday 11:00 AM - 9:00 PM Tuesday 11:00 AM - 9:00 PM Wednesday 11:00 AM - 9:00 PM Thursday 11:00 AM - 9:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 11:00 AM - 9:00 PM"
"https://mymidici.com","Atlanta","999 Peachtree St. NE","Atlanta","Georgia","30309","United States","1720","(470) 447-2900","MidiCi - Best Neapolitan Pizza","33.781102","-84.383716","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 11:00 PM Friday 11:00 AM - 11:00 PM Saturday 11:00 AM - 11:00 PM Sunday 12:00 PM - 10:00 PM"
"https://mymidici.com","Orem","541 East University Pkwy.","Orem","Utah","84097","United States","1746","(385) 352-3752","MidiCi - Best Neapolitan Pizza","40.273506","-111.683372","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 12:00 PM - 8:00 PM"
"https://mymidici.com","The Shops at South Town &#8211; Sandy","10450 S. State St. Ste 2120","Sandy","Utah","84070","United States","4296","<MISSING>","MidiCi - Best Neapolitan Pizza","40.561979","-111.893629","Monday 9:00 AM - 5:00 PM Tuesday 9:00 AM - 5:00 PM Wednesday 9:00 AM - 5:00 PM Thursday 9:00 AM - 5:00 PM Friday 9:00 AM - 5:00 PM Saturday Closed Sunday Closed"
"https://mymidici.com","Salt Lake City &#8211; The Gateway","191 S. Rio Grande St.","Salt Lake City","Utah","84101","United States","2803","(801) 214-7900","MidiCi - Best Neapolitan Pizza","40.765298","-111.903977","Monday 11:00 AM - 9:00 PM Tuesday 11:00 AM - 9:00 PM Wednesday 11:00 AM - 9:00 PM Thursday 11:00 AM - 9:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 11:00 AM - 9:00 PM"
"https://mymidici.com","Hilton Head Island","7 Greenwood Drive,","Hilton Head Island","South Carolina","29928","United States","3744","(843) 842-7999","MidiCi - Best Neapolitan Pizza","32.155184","-80.764633","Monday 12:00 PM - 9:00 PM Tuesday 12:00 PM - 9:00 PM Wednesday 12:00 PM - 9:00 PM Thursday 12:00 PM - 9:00 PM Friday 12:00 PM - 10:00 PM Saturday 12:00 PM - 10:00 PM Sunday 12:00 PM - 9:00 PM"
"https://mymidici.com","Celebration Pointe","4949 Celebration Pointe Ave","Gainesville","Florida","32608","United States","3659","(352) 378-3030","MidiCi - Best Neapolitan Pizza","29.614854","-82.392072","Monday 11:30 AM - 9:00 PM Tuesday 11:30 AM - 9:00 PM Wednesday 11:30 AM - 9:00 PM Thursday 11:30 AM - 9:00 PM Friday 11:30 AM - 11:00 PM Saturday 11:00 AM - 11:00 PM Sunday 11:00 AM - 9:00 PM"
"https://mymidici.com","Canada Square, Mississauga, ON","100 City Centre Drive","Mississauga","Ontario","L5B2C9","Canada","6215","<MISSING>","MidiCi - Best Neapolitan Pizza","43.593078","-79.642491","Monday 9:00 AM - 5:00 PM Tuesday 9:00 AM - 5:00 PM Wednesday 9:00 AM - 5:00 PM Thursday 9:00 AM - 5:00 PM Friday 9:00 AM - 5:00 PM Saturday Closed Sunday Closed"
"https://mymidici.com","Newmarket","17600 Yonge St. (FM10)","Newmarket","Ontario","L3Y 4Z1","Canada","5706","(905) 953-8288","MidiCi - Best Neapolitan Pizza","44.056322","-79.485072","Monday 9:00 AM - 5:00 PM Tuesday 9:00 AM - 5:00 PM Wednesday 9:00 AM - 5:00 PM Thursday 9:00 AM - 5:00 PM Friday 9:00 AM - 5:00 PM Saturday Closed Sunday Closed"
